unit_dur,percentage,participant_id,mean_sig,std_sig,n_sig,n_trial
0.4,0.889,1,1.0,0.0,5,5
0.4,0.889,3,1.0,0.0,7,7
0.4,0.889,4,1.0,0.0,7,7
0.4,0.889,5,1.0,0.0,7,7
0.4,0.889,6,1.0,0.0,7,7
0.4,0.889,7,1.0,0.0,7,7
0.4,0.889,9,1.0,0.0,7,7
0.4,0.889,10,1.0,0.0,6,6
0.4,0.889,11,1.0,0.0,2,2
0.4,0.889,12,1.0,0.0,6,6
0.4,0.889,13,1.0,0.0,6,6
0.4,0.889,14,1.0,0.0,6,6
0.4,0.889,15,1.0,0.0,7,7
0.4,0.889,17,0.8571428571428571,0.37796447300922725,6,7
0.4,0.889,18,1.0,0.0,7,7
0.4,0.889,20,1.0,0.0,7,7
0.4,0.889,21,0.8,0.4472135954999579,4,5
0.4,0.889,24,1.0,0.0,5,5
0.4,0.889,25,1.0,0.0,7,7
0.4,0.889,27,1.0,0.0,7,7
0.4,0.889,28,0.4,0.5477225575051661,2,5
0.4,0.889,29,1.0,0.0,5,5
0.4,0.889,30,1.0,0.0,6,6
0.4,0.889,31,1.0,0.0,6,6
0.4,0.889,34,1.0,0.0,6,6
0.4,0.889,35,0.7142857142857143,0.4879500364742666,5,7
0.4,0.889,36,1.0,0.0,7,7
0.4,1.0,1,1.0,0.0,7,7
0.4,1.0,3,1.0,0.0,7,7
0.4,1.0,4,1.0,0.0,7,7
0.4,1.0,5,1.0,0.0,7,7
0.4,1.0,6,1.0,0.0,7,7
0.4,1.0,7,1.0,0.0,7,7
0.4,1.0,9,1.0,0.0,7,7
0.4,1.0,10,1.0,0.0,7,7
0.4,1.0,11,0.0,,0,1
0.4,1.0,12,1.0,0.0,6,6
0.4,1.0,13,1.0,0.0,7,7
0.4,1.0,14,1.0,0.0,7,7
0.4,1.0,15,1.0,0.0,7,7
0.4,1.0,17,1.0,0.0,7,7
0.4,1.0,18,1.0,0.0,6,6
0.4,1.0,20,1.0,0.0,6,6
0.4,1.0,21,0.8,0.4472135954999579,4,5
0.4,1.0,24,1.0,0.0,5,5
0.4,1.0,25,1.0,0.0,7,7
0.4,1.0,27,1.0,0.0,6,6
0.4,1.0,28,0.6,0.5477225575051661,3,5
0.4,1.0,29,1.0,0.0,6,6
0.4,1.0,30,1.0,0.0,7,7
0.4,1.0,31,0.8333333333333334,0.408248290463863,5,6
0.4,1.0,34,1.0,0.0,7,7
0.4,1.0,35,1.0,0.0,5,5
0.4,1.0,36,1.0,0.0,7,7
0.7,0.0,1,0.0,0.0,0,7
0.7,0.0,3,0.0,0.0,0,7
0.7,0.0,4,0.3333333333333333,0.5163977794943223,2,6
0.7,0.0,5,0.0,0.0,0,4
0.7,0.0,6,0.2857142857142857,0.4879500364742666,2,7
0.7,0.0,7,0.14285714285714285,0.37796447300922725,1,7
0.7,0.0,9,0.14285714285714285,0.37796447300922725,1,7
0.7,0.0,10,0.0,0.0,0,7
0.7,0.0,11,0.0,0.0,0,7
0.7,0.0,12,0.0,0.0,0,7
0.7,0.0,13,0.42857142857142855,0.5345224838248488,3,7
0.7,0.0,14,0.0,0.0,0,7
0.7,0.0,15,0.0,0.0,0,5
0.7,0.0,17,0.14285714285714285,0.37796447300922725,1,7
0.7,0.0,18,0.0,0.0,0,2
0.7,0.0,20,0.4,0.5477225575051661,2,5
0.7,0.0,21,0.0,0.0,0,6
0.7,0.0,24,0.2,0.4472135954999579,1,5
0.7,0.0,25,0.14285714285714285,0.37796447300922725,1,7
0.7,0.0,27,0.0,0.0,0,6
0.7,0.0,28,0.0,0.0,0,7
0.7,0.0,29,0.14285714285714285,0.37796447300922725,1,7
0.7,0.0,30,0.0,0.0,0,7
0.7,0.0,31,0.14285714285714285,0.37796447300922725,1,7
0.7,0.0,34,0.14285714285714285,0.37796447300922725,1,7
0.7,0.0,35,0.16666666666666666,0.408248290463863,1,6
0.7,0.0,36,0.2857142857142857,0.48795003647426666,2,7
0.7,0.111,1,0.2857142857142857,0.4879500364742666,2,7
0.7,0.111,3,0.2857142857142857,0.48795003647426666,2,7
0.7,0.111,4,0.42857142857142855,0.5345224838248488,3,7
0.7,0.111,5,0.3333333333333333,0.5163977794943222,2,6
0.7,0.111,6,0.5714285714285714,0.5345224838248488,4,7
0.7,0.111,7,0.5,0.5477225575051661,3,6
0.7,0.111,9,0.14285714285714285,0.37796447300922725,1,7
0.7,0.111,10,0.0,0.0,0,7
0.7,0.111,11,0.14285714285714285,0.37796447300922725,1,7
0.7,0.111,12,0.0,0.0,0,7
0.7,0.111,13,0.42857142857142855,0.5345224838248488,3,7
0.7,0.111,14,0.14285714285714285,0.37796447300922725,1,7
0.7,0.111,15,0.2,0.447213595499958,1,5
0.7,0.111,17,0.14285714285714285,0.37796447300922725,1,7
0.7,0.111,18,0.0,,0,1
0.7,0.111,20,0.14285714285714285,0.37796447300922725,1,7
0.7,0.111,21,0.16666666666666666,0.408248290463863,1,6
0.7,0.111,24,0.2,0.4472135954999579,1,5
0.7,0.111,25,0.5714285714285714,0.5345224838248488,4,7
0.7,0.111,27,0.16666666666666666,0.408248290463863,1,6
0.7,0.111,28,0.0,0.0,0,7
0.7,0.111,29,0.2857142857142857,0.48795003647426666,2,7
0.7,0.111,30,0.0,0.0,0,6
0.7,0.111,31,0.0,0.0,0,7
0.7,0.111,34,0.0,0.0,0,7
0.7,0.111,35,0.16666666666666666,0.408248290463863,1,6
