participant_id,percentage,unitdur,correct,sum_correct,median_ncycle,median_rt
5,0.444,1.0,1,2,9.510360956192017,9.510360956192017
5,0.556,0.4,0,0,15.242621302604675,6.09704852104187
5,0.556,0.4,1,10,11.90870612859726,4.763482451438904
5,0.556,0.7,0,0,6.623529876981463,4.636470913887024
5,0.556,0.7,1,9,9.528655665261406,6.670058965682983
5,0.556,1.0,0,0,3.4275065660476685,3.4275065660476685
5,0.556,1.0,1,2,6.8035194873809814,6.8035194873809814
5,0.667,0.4,1,13,9.449964761734009,3.779985904693604
5,0.667,0.7,0,0,6.162895815713066,4.3140270709991455
5,0.667,0.7,1,13,7.051201547895159,4.935841083526611
5,0.667,1.0,0,0,3.8538930416107178,3.8538930416107178
5,0.667,1.0,1,5,5.857012033462524,5.857012033462524
5,0.778,0.4,1,8,7.9050639271736145,3.162025570869446
5,0.778,0.7,0,0,6.818574496677944,4.7730021476745605
5,0.778,0.7,1,13,7.5015170233590265,5.251061916351318
5,0.778,1.0,0,0,2.9669729471206665,2.9669729471206665
5,0.778,1.0,1,8,8.01555597782135,8.01555597782135
5,0.889,0.4,1,9,6.335552334785462,2.534220933914185
5,0.889,0.7,1,14,5.731475693838938,4.012032985687256
5,0.889,1.0,0,0,3.569988965988159,3.569988965988159
5,0.889,1.0,1,11,6.465001106262207,6.465001106262207
5,1.0,0.4,1,9,5.982317328453064,2.3929269313812256
5,1.0,0.7,1,13,5.607201371874129,3.9250409603118896
5,1.0,1.0,0,0,3.098905563354492,3.098905563354492
5,1.0,1.0,1,10,6.209466457366943,6.209466457366943
6,0.0,0.4,0,0,22.782727479934685,9.113090991973875
6,0.0,0.4,1,116,15.856211483478546,6.3424845933914185
6,0.0,0.7,0,0,10.07997785295759,7.0559844970703125
6,0.0,0.7,1,110,8.711479221071517,6.098035454750061
6,0.0,1.0,0,0,7.271546483039856,7.271546483039856
6,0.0,1.0,1,116,5.849554419517517,5.849554419517517
6,0.111,0.4,0,0,12.760115265846252,5.104046106338501
6,0.111,0.4,1,1,15.027307271957397,6.010922908782959
6,0.111,0.7,0,0,10.711444105420794,7.498010873794556
6,0.111,0.7,1,1,16.36864559991019,11.458051919937134
6,0.111,1.0,0,0,5.985127925872803,5.985127925872803
6,0.111,1.0,1,1,5.561119079589844,5.561119079589844
6,0.222,0.4,0,0,15.932539701461792,6.373015880584717
