unitdur,percentage,participant_id,mean_yes,std_yes,sum_yes,n_trial
0.7,0.333,7,0.14285714285714285,0.36313651960128146,2,14
0.7,0.333,9,0.35714285714285715,0.4972451580988469,5,14
0.7,0.333,10,0.0,0.0,0,14
0.7,0.333,11,0.6428571428571429,0.4972451580988469,9,14
0.7,0.333,12,0.0,0.0,0,14
0.7,0.333,13,0.2857142857142857,0.4688072309384954,4,14
0.7,0.333,14,0.15384615384615385,0.3755338080994054,2,13
0.7,0.333,15,0.75,0.45226701686664544,9,12
0.7,0.333,17,0.14285714285714285,0.36313651960128146,2,14
0.7,0.333,18,0.4166666666666667,0.5149286505444373,5,12
0.7,0.333,20,0.35714285714285715,0.4972451580988469,5,14
0.7,0.333,21,0.5,0.5270462766947299,5,10
0.7,0.333,24,0.0,0.0,0,12
0.7,0.333,25,0.14285714285714285,0.36313651960128146,2,14
0.7,0.333,27,0.46153846153846156,0.5188745216627708,6,13
0.7,0.333,28,0.2857142857142857,0.4688072309384954,4,14
0.7,0.333,29,0.2857142857142857,0.4688072309384954,4,14
0.7,0.333,30,0.2857142857142857,0.4688072309384954,4,14
0.7,0.333,31,0.35714285714285715,0.4972451580988469,5,14
0.7,0.333,34,0.07142857142857142,0.2672612419124244,1,14
0.7,0.333,35,0.6428571428571429,0.4972451580988469,9,14
0.7,0.333,36,0.2857142857142857,0.4688072309384954,4,14
0.7,0.444,1,0.0,0.0,0,14
0.7,0.444,3,0.5714285714285714,0.5135525910130955,8,14
0.7,0.444,4,0.9285714285714286,0.2672612419124244,13,14
0.7,0.444,5,0.14285714285714285,0.36313651960128146,2,14
0.7,0.444,6,0.5714285714285714,0.5135525910130955,8,14
0.7,0.444,7,0.21428571428571427,0.42581531362632014,3,14
0.7,0.444,9,0.35714285714285715,0.4972451580988469,5,14
0.7,0.444,10,0.07142857142857142,0.2672612419124244,1,14
0.7,0.444,11,0.5714285714285714,0.5135525910130955,8,14
0.7,0.444,12,0.14285714285714285,0.36313651960128146,2,14
0.7,0.444,13,0.35714285714285715,0.49724515809884695,5,14
0.7,0.444,14,0.07142857142857142,0.2672612419124244,1,14
